종목명,날짜,전체평점,평점,제목,장점,단점,이직이유
한국기업평가,2021.02.11,4.0,4.0,“욕심안부리면 만족하면서 다닐 수 있는 회사”,"금융권 내 상위권 연봉, 나쁘지않은 워라밸, 회사 위치","연구원이 중심이 되는 회사. 급수별, 부서별 갈등이 심함",
한국기업평가,2021.02.09,4.0,5.0,“복지 연봉 분위기 좋은 따듯한 회사”,복지는 진짜 다른 회사보다 엄청 좋고 ~ 연봉은 두 말하면 잔소리고~~ 분위기도 좋고~~~ 그냥 최고인 회사,직원끼리 분위기는 좋긴한데 넘 조용해서 숨 넘어갈듯..,
한국기업평가,2021.01.16,4.0,4.0,“아직까지는 괜찮은 회사”,"1. 높은 연봉
2. 훌륭한 복지
3. 타 금융권 대비 워라밸 좋음
4. 높은 수준의 인력 구성","1. 위에 열거산 장점들이 계속 안좋아지는 중
2. 인사적체
3. 최근 입사한 신규직원들과 기존직원들간 괴리감",
한국기업평가,2021.01.10,4.0,4.0,“개별과제의 연속”,"워라밸
개별단위 업무
상대적 고연봉
똑똑한 사람들
연구직 대우","작은규모
업무 난이도
힘들어지는 업무량
코로나 일감 과도",
한국기업평가,2021.01.09,4.0,5.0,“더할 나위 없다 최고의 직장”,"연구원 주니어 레벨의 최고의 회사
본인 담당 업무에 집중할수 있는 환경과 복지 급여 등","교보증권에 있어서 위치적으론 좋으나, 건물이 많이 낡음..",
한국기업평가,2021.01.08,4.0,4.0,“발전하기좋은회사”,"자유로운 휴가사용, 크레딧 리서치 관련 산업 및 기업분석 빠르게 숙달가능, 회사가 지하철역에 붙어있음, 복지카드 금액이 많은편, 코로나때 재택은 많이함, 평가본부는 본인 타임스케쥴 관리 용이 but 사업성평가부문은 아닌듯.
전반적으로 열심히 일하는분위기","낮은 인지도, 높아지는 업무강도
소규모회사로 소문이 빠르게퍼짐
신입직원 실질적 연봉삭감
금감원 등 당국의 모니터링 리스크
저년차 때 유관업종 이직은 쉬우나, 10년차이상은 어려운듯",
한국기업평가,2020.10.20,4.0,4.0,“안정적인 직장”,"신용평가부문 대상
1. 책임급까지는 상대적으로 급여수준이 높음
2. 시즌과 비시즌이 있어 비시즌에는 완벽한 워라밸 추구 가능
3. 다른 곳보다 상식을 갖춘 윗사람들이 많음(많다고 들음)
4. 개인베이스일로 개인일이 바쁘지 않다면 자유롭게 휴가 사용 가능
5. 다양한 회사들을 접할 수 있어 여러방면에서 지식이 많아짐","1. 작은 회사의 단점(빠른 소문, 이미지 고착화, 약간의 파벌 등)
2. 연구원들에 대한 대우가 점차 안좋아짐(경영진 교체이후 빠르게 안좋아짐)
3. 업무량이 점차 증가하고 있으며 시즌과 비시즌의 경계가 무너지는 중
4. 일정 수준 이상의 이직이 쉽지 않음. 하는 일이 고착화되어 있어서 이직할 수 있는 직군이 다양하지 않음. 많이 벌고 빨리 은퇴하고 싶은 사람에게는 적합하지 않음",
한국기업평가,2020.10.04,4.0,5.0,“여러 조건이 균형잡힌 직장”,"커리어 개발이 가능하며, 문화도 요즘 식으로 많이 변하는 중, 좋은 연봉 및 복지","경영진이 회사의 성장에 큰 동기를 가지고 있는지 의문, 모기업 리스크",
한국기업평가,2020.09.28,4.0,4.0,“워라밸 굿 그러나 대우는 점차 안좋아짐”,"워라밸 좋고
전문성 있음
여의도 금융권 중에서 학벌 등 기타 요소도 가장 좋은듯","다소 체계없는 시스템
직원의 복지에 큰 관심없는 경영진",
한국기업평가,2020.08.29,4.0,4.0,“늦게 입사할수록 손해보는 회사”,"비슷한 나이의 대기업 직원들 대비 높은 연봉, 연봉 대비 나쁘지 않은 워라밸, 업무에 대한 전문성 제고 가능, 여의도 근무","신용평가에 대한 이해가 없고 이해할 의지도 없는 증권사(매출지향적) 출신 경영진,
주니어 연구원에게 매우 불리한 급여 및 직급체계,
재래식 시스템",
한국기업평가,2020.08.26,4.0,3.0,“모래알 집단”,"워라벨과 복지, 안정적 수익 기반으로 매년 나오는 성과급","리더십 제로/개념 없는 암적인 실장(들), 비전과 공정성 및 개념 없는 경영진, 기준/공정성 없는 성과평가, 성과평가 무관 윗선부터 두둑히 챙겨가는 성과급(고연봉 고지급률) , 모든 것이 연구직군 위주이며 사무직군은 들러리, 부서들간 몰이해와 무시 & 반목.",
위메이드플레이,2022.05.27,3.7,2.0,“비전 없는 회사”,"워라벨은 괜찮은편
야근 강요도 거의 없고
지각에 상당히 너그러운편","출시한지 3년이상의 게임이 대부분
매출은 발생하지만 앞으로의 비전은 없어보임
새로운 게임을 만들 능력이 없는듯
위메이드로 사명변경후 빠르게 위메이드화 되가고 있음",
위메이드플레이,2022.09.23,3.7,3.0,“빠르게 쇠퇴중”,"워라밸이 좋고 연차사용이 자유로운 편
서현역 1분거리 위치","커뮤니케이션이 부족하고 수직적임
개발장비나 환경이 매우 안좋음
연봉낮음


위메이드로 바뀌면서 아트쪽을 등한시하는 듯 하다
애매한 IP 비전없음
전체적으로 빠르게 쇠퇴중
아트쪽은 특히나 비추",
위메이드플레이,2022.08.22,3.7,3.0,“소소한복지가 좋은회사”,"소소한복지가 좋앗습니다!
회사가 에이케이건물에잇어서
서현역내리면 바로 올라갈수있어서 비올때좋아요!","소소한복지말고는 없어요
팀잘못만나면 고생 친목질 뒷담화 좀심한거같습니다",
위메이드플레이,2022.08.19,3.7,4.0,“워라밸 지키려고 하면 유지 가능한 환경”,"소소한 복지들이 정말 사소하지만 사람을 가끔 웃게하는 맛이 있었음
내 생활이 망가지지 않는 극상의 워라밸","뭔가 잘못된 사업방향으로 흘러가는것 같지만 모회사 인수 후 부터 그 흐름을 바꿀 수 없게 된 느낌
심지어 몇년 간 유지해왔던 영업이익이 적자로 전환",
위메이드플레이,2022.08.17,3.7,3.0,“워라벨만 보장”,"워라벨은 보장되는 회사
조식줘서 아침은 든든
주1회 재택","커리어는 자기가 잘 챙겨야 할듯
가만히 있으면 뒤쳐져서 이직 못할수도",
위메이드플레이,2022.08.09,3.7,3.0,“앞으로잘모르겠는회사”,"적당한 워라밸
높지않은 업무강도
욕심이 크게없다면 전반적으로 무난함","최근 회사가 바뀌면서 분위기가 어수선하다.
새로운 신작 프로젝트를 기대하기어렵다",
위메이드플레이,2022.07.20,3.7,4.0,“워라벨은 최고 개인 성장은 물음표”,"위라벨이 좋다.
주1회 수요일 재택도 좋고 업무강도가 낮아 만족스러움","좋은 인력들은 스스로 나가고, 좋지 않은 인력은 권고사직이 꽤 있는 듯 함. 결과적으로 근래 퇴사가 많아 걱정됨.
개인적으로는 만족스럽게 다니고있음.",
위메이드플레이,2022.07.18,3.7,4.0,“연봉 욕심 내려놓으면 좋은 회사”,"-업무와 삶의 균형-
이것으로 유명한 회사.
업무 강도가 빡쎄진 않다.

-팀 동료-
물론 팀바팀이겠지만 이상하게도 좋은 사람들이 많다.

-사내문화-
워크샵, 플레이샵, 플레이 데이 등 다양한 문화로 만족도 높은 편.
최근엔 주 1회 재택근무도 실시했다.","위메이드가 묻기 시작한 것 같다.

원래 낮았던 연봉 인상률이 다음에는 어떻게 될 지..

또 사내 문화가 어떻게 변할지 두근두근하다.",
위메이드플레이,2022.07.17,3.7,4.0,“어수선한 분위기 유대감 없는 회사”,"아침 제공
사내 마사지체어 수면실 있음
게임존 있음
가격 싼 사내 카페 있음
자잘한 복지문화가 많음
야근은 대체로 안함(근데 부바부-하는팀은 쭉하는듯?)
이것저것 뭔가 시도해보려는 것 같음(NFT, 위믹스 등)","중식제공 없음
해외 워크샵 없어진 것 같음
옛날에는 모르겠는데 최근에는 딱히 회사공동체 같은 느낌이안듦(선토인도 다 옛말이고 근래 퇴사도 부쩍 많아진 듯)",
위메이드플레이,2022.07.11,3.7,3.0,“워라벨이 중요”,"워라벨 보장되고 야근 많이 없음
아침 조식, 월급날 선물같은 자잘한 복지.","케바케 일부팀에 존재하는 약간의 정치.
이젠 오래된 퍼즐 게임.
신작 게임에 대한 개발력은 글쎄...",
위메이드플레이,2022.07.08,3.7,4.0,“워라밸및 소소한 복지가 좋은 회사”,워라밸이 잘지켜지고 소소한 복지가 좋다 아침에 간단한 조식을 주고 조금만 노력하면 인정 을 받을수 있다,점심은 제공이 안되고 연봉 테이블이 낮다 경영진이 바뀌면서 줄안감이 있다,
위메이드플레이,2022.07.03,3.7,4.0,"“워라벨 보장, 벗 빨리 성공작이 나와야할듯”","워라벨 보장
나름 괜찮은 복지
연차 사용 자유로움
팀바팀이지만 자유로운 분위기","성공작이 없어 이제 점점 불안한느낌
팀바팀 분위기
워메이드",
위메이드플레이,2022.06.23,3.7,4.0,“워라밸&사내문화 굿”,"업무강도낮음
야근압박없음
아침밥줌
다양한사내이벤트
사내카페
자유로운분위기
매주수요일온택트(CBT)","점심안줌(월10만원식대)
-> 밥한끼1만원시대에...
퍼즐한정
있는둥마는둥IP",
위메이드플레이,2022.06.16,3.7,4.0,“워라벨 좋음”,"워라벨 좋음
사내 문화 좋음
커리어 향상 좋음
단, 신작하는 사람에 한해서임","퇴사율 은근 높은데 퇴사 후 보충 안해줌
급여율 별로임",
위메이드플레이,2022.06.06,3.7,4.0,“워라벨 보장되는 회사”,"워라벨이 보장되고 사내문화 좋음 사내 전체
플레이샵이라도 해외도 나감","이번에 위메에 먹히면서 회사 방향성이 이상해짐
경영진이 그래서 요즘 좀 이상함",
위메이드플레이,2022.05.25,3.7,3.0,“워라벨이 보장되는 회사”,"워라벨 보장(라이브 팀 기준)
괜찮은 사내 문화
수평적인 팀 분위기","줄어드는 복지
비교적 아쉬운 급여
커리어 향상이 어려움",
위메이드플레이,2022.05.17,3.7,4.0,"“퍼즐명가긴 한데,”","퍼즐게임으로 회사가 안정적임.
복지나 다른 부분에 있어서는 많이 챙겨주려 하는게 보임","너무 안정적으로 퍼즐게임만 고집하는 것 같음.
가끔은 새로운 도전도 했으면 좋겠다는 생각",
위메이드플레이,2022.05.12,3.7,3.0,“워라밸과 사내 복지가 좋음”,지하철과 가까움 아침밥줌 사내카페 빠름 자판기 100원,재택 완전 끝남 배울수있는건 좀 적은 편임 전망 잘 모르겠음,
위메이드플레이,2022.05.12,3.7,4.0,“워라밸 좋고 다들 친절하다”,날 선 사람들이없고 서로 배려하는 문화 좋음 워라밸최고,커리어는 자기가 알아서 하는거라 생각해서 내기준에선 별로없는것같음 그 전에 똥같은 회사에 있다와서 여기가 좋음..,
위메이드플레이,2022.05.12,3.7,3.0,“워라벨보장? 팀바팀?”,"서현역 ak프라자
팀바팀 워라벨?
사내복지 챙겨주기
나오긴 하는 인센","시니어의 부재
책임전가 (실적낮은 팀)
낮은 급여 및 인상률
팀바팀 인센 (차이큼)",
위메이드플레이,2022.05.08,3.7,3.0,“몸이 편한 회사”,"워라밸이 좋음.. 몸이 매우 편함
사내에 소소한 복지나 이벤트가 많음","뻔하고 재미없는 프로젝트
온갖 ip를 가져다가 퍼즐게임으로 만들으려는 프로젝트 위주",전체적으로 작업했던 전반적인 프로젝트들이 개인적인 취향에 맞지 않았고 위 단점으로 인해 퇴사를 결심함
위메이드플레이,2022.04.26,3.7,3.0,“워라밸 하나만 봐야하는 회사 ”,"팀바팀이지만 이정도면 워라밸은 좋은편, 포괄x, 복지 좋음, 월급 밀릴 걱정 없음","워라밸과 인센 핑계로 연봉테이블이 낮은편, 입사할 때 본인이 원하는 연봉 맞추기 어려울 것, 미래가 어둡다",
위메이드플레이,2022.04.25,3.7,3.0,“워라밸이 좋은 회사”,"야근이 거의 없다시피해서 게임회사같지가 않다 이것이 게임회사..?
아침밥 나온다 (근데 늦게가면 없다. ㅠ)
사람들 착하고 좋다
경영진이 이것 저것 많이 해보려고 하는 거 같다","고인물이 많다
연봉이 낮다
짜잘한 복지는 많은데 다른 곳과 비빌만한 수준은 아니다
케바케 겠지만 다니면서 계속 편하다고 생각해서인지 뭔가 굵직하게 해낸게 없는 거 같다",
위메이드플레이,2022.04.21,3.7,1.0,“몸은편한데 앞으로의 발전은 없는회사”,"워라벨 보장, 공무원같이 다닐 수 있는 회사
단 연봉은 그다지...","개인적인 발전이나 디자인 퀄리티를 바란다면 여긴 오면 안된다.
특히 신입은 여기 오면 무덤이 될듯. (몸은 편해서 다른데 이직 못할듯)

대표를 비롯한 임원진들이 디자인을 보는 눈이 대체로 낮은 편.
디자인의 중요성도 신경안쓰는 편이며, 그냥 빠르게 만들면 좋아한다.",
위메이드플레이,2022.04.05,3.7,4.0,“엄청난 워라벨”,"업계 최장기간 재택근무를 할 수 있었고
워라벨 보장되는 회사
직원 복지 및 사내 문화가 잘 되어 있는 회사",커리어 쌓기에는 조금 무리가 있어 보이는 회사인 것 같습니다.,조금 더 커리어 쌓는데 도움이 되는 쪽으로 선택해야 될 것 같아서
위메이드플레이,2022.03.28,3.7,4.0,“괜찮은 회사였던 곳”,"사람으로 스트레스 적게 받는 점, 복지 괜찮은 편이고 일 강도가 빡세지 않다.",신규 개발이 없다. 나중에 어떻게 될련지.. 앞으로 몇년간 회사 잘될 일이 없어보임.,
위메이드플레이,2022.03.26,3.7,4.0,“적당히 다닐만 함”,"복지 괜찮음
이제는 잘 모르겠지만 직원을 생각해주는 회사였음
부바부지만 대부분 워라벨 잘 지켜짐","업무역량 키우기는 힘듦. 평생 다닐거면 문제없을 듯
연봉 낮음
점점 줄타기 하는 회사로 변화중",
위메이드플레이,2022.03.24,3.7,3.0,“워라벨은 보장되는 회사”,"나름 편안한 분위기 속에서 일할 수 있음.
대부분 팀 분위기도 좋음.
사소한 것들 잘챙겨주는 그런 문화도 좋음.","회사가 언제까지 잘될지 잘 모르겠다..
팀바팀이겠지만 뭔가 배울 수 있는 분위기는 아님.",
위메이드플레이,2022.03.22,3.7,3.0,“워라밸 좋고 안정적인데 공무원같은 삶”,"- 워라밸이 좋다. 특별한 스케줄이 아니면 거의 모든 팀이 칼퇴 하는듯
- 같이 일하는 동료들이 서로 존중하는 분위기","- 고인물 혹은 주니어급의 분포가 많고, 시니어 급 연차들이 많지 않음
- 공무원처럼 안정적으로 편하게 다닐게 아니라면 신입~ 주니어급은 비추. 회사 외적인 시간을 들여 공부하는게 정석이라지만, 그렇다해도 업무적인 경험을 쌓기에 성장 요소가 많은 곳은 아님. 개인적인 노력을 들이지 않으면 커리어가 망가지거나 우물안 개구리가 될 수 있으니 주의
- 오랜 기간 라이브중인 캐주얼 게임이 많다보니, 유지보수 의지가 강하여 목표 방향이 보수적인 편으로 체감 됨",
위메이드플레이,2022.03.14,3.7,5.0,“이 정도면 꽤나 좋은 회사”,"워라벨이 보장되서 좋고, 사람들이 다 친절함. 괜찮음.",최근 대주주가 위메이드로 변경이 되어 혼란스럽지만 변화하려는 모습으로 보면 나쁘지 않음.,
위메이드플레이,2022.03.14,3.7,4.0,“워라벨이 보장되는 회사”,워라벨이 보장되고 복지가 좋은 편임. 가능한 직원을 챙겨주려고 하는 회사.,중간 허리 역할을 하는 시니어급이 적어 업무를 배워가며 하긴 어려움.,
위메이드플레이,2022.03.11,3.7,1.0,“잠시 쉬었다 가는 곳”,"아침밥을 주네
월급날 선물을 주네
근데 이게 다임ㅎㅎㅎ","일단 테스트 부서 참 고인물이 많고
실력은 없는데 정치가 난무하고
이거이거 문제 아주 많음 현실적으로 회사는 개편을 해야함","말해 뭐해
이직한 사람 다 느끼는 부분인데
혁신적인 개편 일 강도가 높혀져야 되
그러니 다들 요양하는 곳이라고 하지
근데 신작마다 다 하나같이 망이라...글쎄"
위메이드플레이,2022.02.28,3.7,5.0,“팀바팀이지만 대부분 워라벨 훌륭함”,"워라벨이 좋은편이나 보통 재택이 팀장 재량이기에 팀바팀 좀 있는편
아침만 간단히 나옴","점심 식대 월급에 10만원있는데 적게느껴짐.
팀간의 전배가 잦은편",
위메이드플레이,2022.02.23,3.7,5.0,“워라벨과 퇴근자유있는회사”,"한달에한번있던 토즈데이

놀랄 이벤트 및 사내행사.

다니면서 가장좋았던회사.","힘들었던점..이라면

새로운게임오픈 후 관리?

많이힘들민않았다..후회되는퇴사",
위메이드플레이,2022.02.21,3.7,3.0,“워라밸빼면 그냥 그런회사”,워라밸은 정말 인정하지만 워라밸빼면은 시체인 회사라서...워라밸뿐!!,"그 외.... 급여,복지은 다른 회사에 비해 별로고 사람은 뭐 팀바팀이니 패스",
위메이드플레이,2022.02.13,3.7,3.0,“커리어 마지막에 요양하기 좋은 회사”,"극강의 워라밸
크지 않은 기업 규모에 비해 알찬 복지들
기업 문화 좋음. 어버이날 과일 보내줘서 부모님이 좋아하심
사람 스트레스 별로 없음
초역세권 사무실","개발자로서 커리어 성장 불가능함. 한창 커야하는 주니어들에게는 치명적
미래 먹거리 없음

데브시스터즈가 되거나 파티게임즈가 되거나 둘 중 하나만 남은 회사",
위메이드플레이,2022.02.12,3.7,4.0,“아아아주 따뜻한 온실”,"복지좋고 사내문화 나쁘지않습니다
팀바이팀 이긴 하지만요","돈 개 조금주고 커리어엔 별로 도움안됨
있는복지 줄이는거보니 회사 기우는듯",
위메이드플레이,2022.02.08,3.7,4.0,“워라벨 & 기업문화 최고 ”,소소한 기업문화가 좋고 워라벨이 확실히 보장됨 야근 없고 주말 근무 없음,커리어 발전이 쉬운 조직은 아니다 발전을 향해 달려보자! 하는 분위기는 별로 없음,
위메이드플레이,2022.02.01,3.7,2.0,“서서히 가라앉고 있는 퍼즐배”,애니팡이 아직도 어느정도 벌고있고 사업을 크게 벌리거나 하지 않아 지속적으로 안정적임,"퍼즐게임 명가라기엔 이젠 매치3만 만들고, 그마저도 발전이 없음",
위메이드플레이,2022.01.26,3.7,4.0,“좋은 워라벨 좋은 복지 좋은 사람들”,"워라벨이 정말 좋다!!
소소한 복지 부터 좋은 근무환경 까지 만족감을 준다!",경쟁 회사와 비교해서 커리어를 쌓기는 어려울 수 있는 것 같다.,
위메이드플레이,2022.01.24,3.7,4.0,“워라벨이 보장되는 회사”,워라벨은 진짜 최고입니다. 복지도 괜찮은편 수평문화도 괜찮은편,굳이 뽑자면 커리어??? 실력 향상 정도인것 같습니다.,
위메이드플레이,2022.01.20,3.7,4.0,“월라벨 보장 .. 허니 커리어는(?)”,워라벨이 너무 만족되는 회사입니다. 칼출칼퇴 계속했네요,경영진이 무엇을 생각하고 있는가 미래는 무엇을 통해 먹고 살것인지 잘 모르겠어요,
위메이드플레이,2022.01.10,3.7,3.0,“워라밸이 큰 장점인 회사”,퇴근후 인간다운 삶을 보낼 수 있다. 팀바팀이지만 지속 가능한 업무량으로 대부분 크런치가 없는 분위기.,리더급의 경직된 커뮤니케이션. 커리어 개발은 개인의 몫.,
위메이드플레이,2021.12.23,3.7,5.0,“팀마다 다르지만 전체 분위기는 구성원 서로 존중하는 분위기”,"구성원끼리 존중하는 문화에 대해서는 참 잘 만들어져있어요.
커뮤니케이션할 때 상대방 이야기 끝까지 들어주고 터무니 없는 이야기라도 일단은 듣고 답변해주는 분위기","전체적으로는 존중하는 분위기이지만 팀장에 대한 권한이 높은 편이라서 소속한 팀에 따라 업무 환경이 다르다고 볼 수 있음, 단점이면서 장점",
위메이드플레이,2021.12.22,3.7,2.0,“편하지만 업계 최하위 연봉”,워라밸 / 좋은 동료 / 자잘한 복지 / 큰 스트레스 없음,"업계 연봉 인상 파도를 탔지만
그래도 게임사 최하위 연봉 수준.
더 솔직히 말하면
가정이 있는 가장은 풍족한 삶 불가능.
주니어나 여사우들은 다니기 쉬움",
위메이드플레이,2021.12.21,3.7,4.0,“좋습니다”,사람이 정말 좋은분들이 많으신거 같습니다. 팀바팀이긴 하지만 다들 워라밸을 가장 중요하는 분위기인듯 합니다,커리어 향상이라던지 급여에 대한 부분이 확실히 아쉬운 부분이 있는거 같습니다,
위메이드플레이,2021.12.21,3.7,4.0,“다니기 괜찮음”,"워라밸
나름 잘 챙겨주려고 함
분위기 나쁘지 않음
서현역 도보 1분","팀바팀이겠지만 비효율적인 업무방식
변화에 좀 소극적
점심지원 없음",
위메이드플레이,2021.12.20,3.7,3.0,“워라밸 하나만 최고”,"워라벨 최고
사내 이벤트많음
동료들 착하고 순함 일할때 불편함 딱히 없었음","커리어적으로 도전할건 없음
고인물이 많아서 무리형성되있어서 정치질 좀 있음
최근에 퇴사 많이하긴하던데 아직멀었다고봄","돈을 너무 안주고 성장가능성이 낮아서 퇴사 결심
그타이밍에 헤드와 트러블도 있었응"
위메이드플레이,2021.12.08,3.7,3.0,“몸은 편한데 발전은 없는 회사”,"구성원들을 위한 소소하고 다양한 이벤트를 자주 개최하고 실용적인 복지들이 많다. 이런 부분을 회사에서도 노력하는 것 같아서 감사하다. 팀바팀이긴 하겠지만 회사에서 팀 스케줄을 무리하게 압박하지 않는다.
좋은 게임 개발을 위해 지원도 많이해주는 편이나 무능력한 사람을 골라내는 눈은 필요한 것 같다.","최근 신작들의 부진한 성적으로 새로운 시도나 도전에 굉장히 조심스러운 느낌..
라이브에 잉여인력이 많은데 대폭 줄이고 신작 도전을 많이했으면 좋겠다. 현재 돌아가는상황보면 전혀 발전이 없는 느낌이다.
열정과 실력 있는 사람이 활약할 기회가 많이 만들어졌으면 좋겠다.",
위메이드플레이,2021.12.03,3.7,4.0,“워라벨이 좋은 회사”,"워라벨이 어느정도 보장되고 복지도 이정도면 괜찮다 싶음 일에 치이다가 오면 행복한듯
정치하는 사람 없어서 좋음","위에 적은 장점 외에는 크게 생각 나는 장점이 없음..
올라가기 힘든 숙련도
프로젝트별 케바케 야근이 있음",
위메이드플레이,2021.11.26,3.7,3.0,“적당히 다니기 좋은 곳”,"아침 준다.
월급날이나 이런저런 날에 뭔갈 많이 챙겨준다.",업무 프로세스나 툴 사용 같은 것들이 체계화 되어 있지 않아서 각기 다 다르고 엄청 비효율적으로 일 한다. 근데 여기 사람들은 불편함을 모르는 건지 고칠 여력이 안되는 건지 방치하는 것 같음.,
위메이드플레이,2021.11.17,3.7,3.0,“연봉 낮다는 게임 회사들 중에서도 제일 낮음”,"워라벨이 좋다
본인만 잘하면 된다
역이랑 가깝다
자잘한 복지가 좋다","연봉이 정말 업계 최저 수준으로 낮다
임원들도 모두 아는 사실.
올해 초 연봉 인상 되어도
남들 인상하기 전 연봉과 같은 수준",
위메이드플레이,2021.11.15,3.7,5.0,“평생 직장하기 좋은 회사”,"사내 문화와 워라벨이 만족스럽다.
장급의 갑질이나 이런것도 개인적으로는 본적이 없었으며
서로 선을 지켜주는 분위기다","다소 급여가 다른 회사에 비해 적다고 생각된다.
업무에 대한 고민이 필요하다.",
위메이드플레이,2021.11.09,3.7,4.0,“회사는 좋다”,"소소하게 주는 복지들이 좋았다
인사팀분들도 친절하시고
환경도 나쁘지않음 지하철이랑 가깝고
아침도 주고 백화점이랑 연결되어있고 등등","오래 다니지는 않아서 딱히 힘든점은 없었다
연봉이 아쉬웠던거 빼곤",
위메이드플레이,2021.10.29,3.7,3.0,“정체된회사”,복지 괜찮고 근무환경도 좋고 직원들의 크고작은 불만들에대해 많이 들어주는편,"정치질이 심하고 제대로된 판단을 하는 사람이 없음
스마일게이트때문에 더 힘듬",
위메이드플레이,2021.10.29,3.7,5.0,“워라벨보장되는 회사”,워라벨과 기업문화 업무강도 높진않지만 신작팀은 다소 높을수도 있음,워라벨과 기업문화가 좋다보니 힘든점은 없지만 다른 게임회사에 비해 연봉이 적다고 알고있음,
위메이드플레이,2021.10.15,3.7,4.0,“마지막 회사라고 생각하면 괜찮음”,"내 인생 마지막 회사로 요양하겠다 생각하고 다니면 괜찮음
그만큼 워라밸 좋고 업무난이도 낮고 복지도 괜찮음.
근속년수 엄청 오래된 사람들 많은거보면... 알겠쥬?
게임계 공무원이라고 보면됌","공무원 단점인 일못하는 놈 안 짤리는거 ㅋㅋㅋ
내가 일 못해도 안 짤리지만 저놈도 안 짤린다
한마디로 미래가 없다
도전정신없고 그저 현실에 안주하려고만 함
연봉협상 대란으로 연봉인상되긴 했지만 원래도 연봉 거어어어어업나 낮아서 이제야 평균~평균 살짝 밑 된 느낌?",이 회사에는 미래가 없습니다... 게임 안 하는 사람이 다 리더급이니 정말 답이 없습니다.
위메이드플레이,2021.10.12,3.7,4.0,“편하게 다니기 좋은 회사”,"복지가 좋아 다니기 좋다
사회 공헌을 많이 한다
의견을 내면 반영을 잘 한다","주니어가 너무 많아 성장이 되지 않는 느낌
돈 아끼려고 주니어 위주로 뽑는 느낌",
위메이드플레이,2021.10.03,3.7,3.0,“공무원처럼 다닐 수 있는 회사”,워라밸과 복지가 나쁘지 않다. 물흐르듯 다니기는 좋은 회사,수평적 구조를 추구한다하지만 눈에 뻔히 보이는 상하관계,
위메이드플레이,2021.09.22,3.7,5.0,“워라밸이 최고인회사”,서로에게 터치하지않고 다들 열심히 한다. 공유 문화가 잘되어있다 복지가 좋았다,히스토리가 잘 쌓여있지않아서 초반에 다시 하느라 힘들었다,
위메이드플레이,2021.08.27,3.7,3.0,“워라벨이 보장되는 회사”,"워라벨이 보장되는 것 같음
복지 좋음
칼퇴 눈치 보지 않고 가능","각자일만 하고 공유 잘안됨
따로 혼자 공부 등을 하지 않으면 업계나 직군에서 도태될수 있음",
위메이드플레이,2021.08.20,3.7,4.0,“워라벨은 인정”,"워라벨은 인정함
소소한 복지 다양함
공무원급으로 다닐수있음","연봉갭이 심하다
커리어 발전은 기대하기 힘들수도…
정치질 은근 있음",
위메이드플레이,2021.08.19,3.7,4.0,“그래도 괜찮은 회사”,"워라밸 나름 괜찮음
연차 마음대로 사용 가능
아직 알아주는 인지도
전반적으로 밝은 분위기","점심 식대 미지원
동종 업계 대비 짠 연봉
최근 샌작 다 실적 안 좋음",
위메이드플레이,2021.08.12,3.7,2.0,“ 칼퇴가능 워라벨가능”,"워라벨이 가능하다. 칼퇴가 가능하다. ->가능하지만 인정 받진 못한다.
일하기 좋은 환경이다.
시스템이 갖춰있고 조용히 다니기엔 좋다.","경영진이 바뀐 후 게임회사 특유의 자유로운 분위기가 사라졌다.
사내 정치가 많고 뒷담화가 많다.
디자이너는 발전이 없다.
워라벨을 지키다가는 인정받지 못한다.",
위메이드플레이,2021.08.11,3.7,2.0,"“공무원 조직 같은 회사지만, 정치가 생각보다 심한 회사”",나름의 공무원 조직 같은게 장점이자 단점이다 편하게 일하려면 얼마든지 편하게 일하는게 가능하다,"은근히 정치가 있어서 내부에서 눈치보는 사람이 많고, 회사 대표가 바뀐 이후부터 문화가 많이 달라졌다",
위메이드플레이,2021.08.04,3.7,4.0,“전체적으로 평균 이상인 회사”,"다양한 사내문화 및 소소한 복지들, 괜찮은 사람들, 게임업계의 평균 이상 되는것 같다",아주 안좋은건 없는것 같습니다. 시스템적으로 좀 불편한건 많은것 같습니다.,
위메이드플레이,2021.07.29,3.7,3.0,“과거의 영광을 잊지 못하는 회사”,"1. 복지 및 사내문화 만족함
- 매년 하향되는거 같지만 아직까지는 그래도 만족
2. 자유로운 근무 분위기
- 팀바팀
3. 워라벨","1. 불투명한 인사평가제도
2. 워라벨
- 팀바팀, 사바사 업무의 분배가 잘 안됨, 일하는척 그럴싸하게 포장하면 잘 놀면서 다닐수 있음
3. 내부에서 직책자로 배치되는 경우가 거의 없음
- 공석인 직책이 생기면 헤헌이나 지인추천을 통해 데리고 옴, 그 사람에 대한 검증은 안하는듯? 그렇게 온 사람중 성희롱, 막말 발언 등 여러건의 문제가 생겼지만 그것도 잠시일뿐 조용히 사라짐",
위메이드플레이,2021.07.26,3.7,2.0,“그저그런회사”,복지카드‥? 지하철이랑 가까운거. 비 안맞고 지하쩔 탈 수 있음.,부서마다 복지를 사용할 수 있는 격차가 크다고 느낌. 콘대들 때문에 일하려는 사람이 일을 못함.,
